"date","category1","category2","category3","fulltext","attachmentLink","resolution"
"2023-09-26","8. - CHAIRMAN'S ORDERS","8j.",,"FROM THE COMMITTEE ON TRAFFIC AND PARKING  - Request City Manager request Commissioner of Transportation and Mobility coordinate with the Superintendent of the Public Schools to investigate ways to improve pedestrian safety and access during the arrival and dismissal activities at the Goddard School of Science & Technology.","https://www.worcesterma.gov/cgi-bin/weblink.cgi?unique_id=cc2021jun03034450","Order adopted on a roll call vote of 11 Yeas and 0 Nays (See Item #8a CC)"
"2023-09-26","8. - CHAIRMAN'S ORDERS","8k.",,"FROM THE COMMITTEE ON TRAFFIC AND PARKING  - Request City Manager request Commissioner of Transportation and Mobility install MUTCD-compliant Pedestrian in Crosswalk signage in the vicinity of 489 Hamilton St.","https://www.worcesterma.gov/cgi-bin/weblink.cgi?unique_id=cc2023jan27010430","Order adopted on a roll call vote of 11 Yeas and 0 Nays (See Item #8a CC)"
"2023-09-26","8. - CHAIRMAN'S ORDERS","8l.",,"FROM THE COMMITTEE ON TRAFFIC AND PARKING  - Request City Manager request Commissioner of Transportation and Mobility work with City Officials and the Superintendent of Public Schools to organize a neighborhood walk-through at Roosevelt Street School during pick-up time.","https://www.worcesterma.gov/cgi-bin/weblink.cgi?unique_id=cc2023feb10012645","Order adopted on a roll call vote of 11 Yeas and 0 Nays (See Item #8a CC)"
"2023-09-26","8. - CHAIRMAN'S ORDERS","8m.",,"FROM THE COMMITTEE ON TRAFFIC AND PARKING  - Request City Manager request Commissioner of Transportation and Mobility install MUTCD-compliant Pedestrian in Crosswalk signage on Sunderland Rd. in the vicinity of Roosevelt Street School.","https://www.worcesterma.gov/cgi-bin/weblink.cgi?unique_id=cc2023feb10012645","Order adopted on a roll call vote of 11 Yeas and 0 Nays (See Item #8a CC)"
"2023-09-26","8. - CHAIRMAN'S ORDERS","8n.",,"FROM THE COMMITTEE ON TRAFFIC AND PARKING  - Request City Manager request Commissioner of Transportation and Mobility work with the Superintendent of Public Schools and the Massachusetts Safe Routes to School program to review and upgrade School Zone signage along Sunderland Rd. in the vicinity of Roosevelt Street School.","https://www.worcesterma.gov/cgi-bin/weblink.cgi?unique_id=cc2023feb10012645","Order adopted on a roll call vote of 11 Yeas and 0 Nays (See Item #8a CC)"
"2023-09-26","8. - CHAIRMAN'S ORDERS","8o.",,"FROM THE COMMITTEE ON TRAFFIC AND PARKING  - Request City Manager request Commissioner of Transportation and Mobility work with the Department of Public Works and Parks and the Superintendent of Public Schools to develop a plan to address sidewalks and pedestrian accommodations comprehensively along Sunderland Rd. between Dalton St. and Grafton St., with particular emphasis on the section between Perkins Farm Rd. and the westerly driveway of Redwood Hills.","https://www.worcesterma.gov/cgi-bin/weblink.cgi?unique_id=cc2023feb10012645","Order adopted on a roll call vote of 11 Yeas and 0 Nays (See Item #8a CC)"
"2023-09-26","8. - CHAIRMAN'S ORDERS","8p.",,"FROM THE COMMITTEE ON TRAFFIC AND PARKING  - Request City Manager provide City Council with an update concerning the funding for the approved sidewalk construction along publicly-owned properties and properties abutting public streets.","https://www.worcesterma.gov/cgi-bin/weblink.cgi?unique_id=cc2023feb10012645","Order adopted on a roll call vote of 11 Yeas and 0 Nays (See Item #8a CC)"
"2023-09-26","8. - CHAIRMAN'S ORDERS","8q.",,"FROM THE COMMITTEE ON TRAFFIC AND PARKING  - Request City Manager request Commissioner of Transportation and Mobility conduct a traffic study for the purposes of prohibiting parking on the easterly side of Gosnold St. for 40 ft. north of the intersection.","https://www.worcesterma.gov/cgi-bin/weblink.cgi?unique_id=cc2022apr22011719","Order adopted on a roll call vote of 11 Yeas and 0 Nays (See Item #8a CC)"
"2023-09-26","8. - CHAIRMAN'S ORDERS","8r.",,"FROM THE COMMITTEE ON TRAFFIC AND PARKING  - Request City Manager request Commissioner of Public Works and Parks trim the street tree on the northeast corner of the intersection of Gosnold St. and Andover St.","https://www.worcesterma.gov/cgi-bin/weblink.cgi?unique_id=cc2022apr22011719","Order adopted on a roll call vote of 11 Yeas and 0 Nays (See Item #8a CC)"
"2023-09-26","8. - CHAIRMAN'S ORDERS","8s.",,"FROM THE COMMITTEE ON TRAFFIC AND PARKING  - Request City Manager request Commissioner of Transportation and Mobility install painted stop bars on Andover St. at the intersection of Gosnold St. and Andover St.","https://www.worcesterma.gov/cgi-bin/weblink.cgi?unique_id=cc2022apr22011719","Order adopted on a roll call vote of 11 Yeas and 0 Nays (See Item #8a CC)"
"2023-09-26","8. - CHAIRMAN'S ORDERS","8t.",,"FROM THE COMMITTEE ON URBAN TECHNOLOGIES, INNOVATION AND ENVIRONMENT  - Request City Manager request Director of Emergency Communications and Management ensure marketing for the 311 program be made accessible in multiple languages.","https://www.worcesterma.gov/cgi-bin/weblink.cgi?unique_id=cm2022may20095859","Order adopted on a roll call vote of 11 Yeas and 0 Nays (See Item #8a CC)"
"2023-09-26","8. - CHAIRMAN'S ORDERS","8u.",,"FROM THE COMMITTEE ON URBAN TECHNOLOGIES, INNOVATION AND ENVIRONMENT  - Request City Manager request the Director of Emergency Communications and Management review and resolve issues relative to the 311 app, including anonymous reporting and the solved tickets counter.","https://www.worcesterma.gov/cgi-bin/weblink.cgi?unique_id=cm2022may20095859","Order adopted on a roll call vote of 11 Yeas and 0 Nays (See Item #8a CC)"
"2023-09-26","8. - CHAIRMAN'S ORDERS","8v.",,"FROM THE COMMITTEE ON URBAN TECHNOLOGIES, INNOVATION AND ENVIRONMENT  - Request City Clerk provide City Council with a report concerning Community Fluency�s archiving mechanism.","https://www.worcesterma.gov/cgi-bin/weblink.cgi?unique_id=cc2022oct21031804","Order adopted on a roll call vote of 11 Yeas and 0 Nays (See Item #8a CC)"
"2023-09-26","9. - ORDERS","9a.",,"Request City Council, in accordance with City Council Rule 52, to discharge from the Standing Committee on Municipal and Legislative Operations the item referred to said committee on February 15, 2022 that reads as follows: Order of Councilor George J. Russell - Request City Manager work with the City Clerk to develop an online, mandatory registration system for lobbyists and any other person being compensated to solicit elected or appointed officials concerning policy matters in the City of Worcester�s government. Said information should include who they are and on behalf of who they are contacting officials for. Further, request that this data be public information as soon as it is filed. (Russell)","https://www.worcesterma.gov/cgi-bin/weblink.cgi?unique_id=cc2023sep22022745","Mayor Petty read the item and recognized Councilor King, who moved to Table the Item Under Privilege.  Tabled Under Privilege - King"
"2023-09-26","9. - ORDERS","9b.",,"Request City Manager request Commissioner of Public Works and Parks provide City Council with an ordinance or policy that mandates all trench work done by utility companies and/or private contractors be permanently repaired within six (6) months and is guaranteed/bonded against sinking for five (5) years. Further, request City Manager provide City Council with information relative to the required amount of staff the Department of Public Works and Parks needs to ensure their ability to inspect such work on a regular, proactive schedule. (Russell, Toomey, Haxhiaj, Mero-Carlson)","https://www.worcesterma.gov/cgi-bin/weblink.cgi?unique_id=cc2023sep22023032","Mayor Petty read the item and recognized Councilor Russell, Councilor Mero-Carlson and Councilor King who spoke concerning the item.  Mayor Petty recognized the City Manager, who responded to questions raised by Councilor King.  Councilor King then moved to, �Request City Manager review any technology that could be purchased by the city to aid in the inspection trench work done by the city�s utility companies. Further, request City Manager determine the feasibility of fining utility companies whenever a location fails to meet standards associated with repairing the road after trench work.� (See Item #20c CC).  Mayor Petty recognized Councilor Rivera, who spoke concerning the item.  Mayor Petty moved for a roll call vote to adopt the item. Order adopted on a roll call vote of 10 Yeas and 0 Nays (Nguyen absent)"
"2023-09-26","9. - ORDERS","9c.",,"Request City Manager provide City Council with an update as to the progress of the hiring of the Chief Equity Officer, as well as the ensuring of proper staffing levels within the Executive Office of Diversity, Equity and Inclusion. (Toomey)","https://www.worcesterma.gov/cgi-bin/weblink.cgi?unique_id=cc2023sep22023159","Mayor Petty read the item and recognized Councilor Toomey, who spoke concerning the item.  Mayor Petty recognized the City Manager, who responded to questions raised by Councilor Toomey.  Mayor Petty recognized Councilor King, who spoke concerning the item.  Mayor Petty moved for a roll call vote to adopt the item. Order adopted on a roll call vote of 11 Yeas and 0 Nays"
"2023-09-26","9. - ORDERS","9d.",,"Request City Manager make immediate efforts to communicate with city's State Delegation and all relevant parties relative to the need to restore the reported elimination of the direct �Heart to Hub� express train service schedule from Worcester to Boston. (Bergman, Mero-Carlson)","https://www.worcesterma.gov/cgi-bin/weblink.cgi?unique_id=cc2023sep22023423","Mayor Petty read the item and moved to take the item up with item #17a CC.   Mayor Petty recognized Councilor Mero-Carlson, who spoke concerning the item.  Mayor Petty recognized the City Manager, who responded to questions raised by Councilor Mero-Carlson.  Mayor Petty read the item and recognized Councilor Bergman, who spoke concerning the item.  Vice Chairperson Councilor Colorio read the item and recognized Mayor Petty, who spoke concerning the item.  Vice Chairperson Councilor Colorio recognized the City Manager, who responded to questions raised by Mayor Petty.  Mayor Petty recognized Councilor King and Councilor Colorio, who spoke concerning the item.  Mayor Petty moved for a roll call vote to refer the items to Public Service and Transportation Committee. Referred to Public Service and Transportation Committee on a roll call vote of 11 Yeas and 0 Nays"
"2023-09-26","9. - ORDERS","9e.",,"Request City Manager request Chief Development Officer work with the City Solicitor to expand any draft ordinances relative to registered apprenticeship requirements associated with the city�s Tax Increment Financing (TIF) and Tax Increment Exemption (TIE) policies to include all trades in future projects. (King)","https://www.worcesterma.gov/cgi-bin/weblink.cgi?unique_id=cc2023sep22023557","Mayor Petty read the item and recognized Councilor King, who moved to Table the Item Under Privilege.  Tabled Under Privilege - King"
"2023-09-26","9. - ORDERS","9f.",,"Request City Manager work with the Assistant Commissioner of Public Works and Parks to consider allocating funds in next year's budget for improvements to the Columbus Park. Further, request City Manager request Assistant Commissioner of public Works and Parks collaborate with the Columbus Park Neighborhood Association regarding such improvements. (Haxhiaj)","https://www.worcesterma.gov/cgi-bin/weblink.cgi?unique_id=cc2023sep22023802","Mayor Petty read the item and moved to take items #9f CC through #9h CC collectively.   Mayor Petty moved for a roll call vote to adopt the item. Order adopted on a roll call vote of 11 Yeas and 0 Nays"
"2023-09-26","9. - ORDERS","9g.",,"Request City Manager work with the Commissioner of Public Works and Parks and the Commissioner of Transportation and Mobility to restore the two (2) crosswalks across from Big Y, located at 100 Mayfield St., which were accidentally removed during the repaving of May St. (Haxhiaj)","https://www.worcesterma.gov/cgi-bin/weblink.cgi?unique_id=cc2023sep22023923","Order adopted on a roll call vote of 11 Yeas and 0 Nays (See Item #9f CC)"
"2023-09-26","9. - ORDERS","9h.",,"Request City Manager apply for tree planting grants and/or encourage the city�s nonprofit partners to do the same through the Greening the Gateway Cities Program. (https://www.mass.gov/info-details/greening-the-gateway-cities-program?_gl=1*1ezfwg4*_ga*MTI3OTQ0NjU0Mi4xNjc5MzU4MTE5*_ga_MCLPEGW7WM*MTY5NTA2OTA1My4xLjAuMTY5NTA2OTA2Ni4wLjAuMA) (Haxhiaj)","https://www.worcesterma.gov/cgi-bin/weblink.cgi?unique_id=cc2023sep22024059","Order adopted on a roll call vote of 11 Yeas and 0 Nays (See Item #9f CC)"
"2023-09-26","9. - ORDERS","9i.",,"In an effort to consider the expansion of the applicant pool associated with the Chief of Police position, request City Manager provide City Council with draft language that would, by Special Act, remove the civil service requirement for the city's Chief of Police position, as well as any other related parameters associated with the position. (King)","https://www.worcesterma.gov/cgi-bin/weblink.cgi?unique_id=cc2023sep22024248","Mayor Petty read the item and recognized Councilor King, who moved to Table the Item Under Privilege.  Tabled Under Privilege - King"
"2023-09-26","9. - ORDERS","9j.",,"Request City Manager request Chief Development Officer provide City Council, at its next meeting, with a presentation concerning housing initiatives in the city. (Petty)","https://www.worcesterma.gov/cgi-bin/weblink.cgi?unique_id=cc2023sep22025239","Vice Chairperson Councilor Colorio read the item and recognized Mayor Petty, who spoke concerning the item.  Vice Chairperson Councilor Colorio moved to add the entire City Council as sponsors of the item.  Vice Chairperson Councilor Colorio moved for a roll call vote to adopt the item. Order adopted on a roll call vote of 10 Yeas and 0 Nays (Haxhiaj absent)"
"2023-09-26","9. - ORDERS","9k.",,"Request City Manager identify areas within each City Council district where permanent speed humps can be piloted.  (Petty)","https://www.worcesterma.gov/cgi-bin/weblink.cgi?unique_id=cc2023sep22025902","Vice Chairperson Councilor Colorio read the item and recognized Mayor Petty, who spoke concerning the item.  Vice Chairperson Councilor Colorio recognized Councilor Russell, who moved to amend the item to read as follows: �Request City Manager work with each district City Councilor to identify areas within each City Council district where permanent speed humps can be piloted.�  Vice Chairperson Councilor Colorio recognized Councilor Mero-Carlson, who spoke concerning the item.  Vice Chairperson Councilor Colorio recognized Councilor Rose, who moved to add his name as a sponsor of the item.  Vice Chairperson Councilor Colorio recognized Councilor King, who spoke concerning the item.  Vice Chairperson Councilor Colorio recognized the City Manager, who responded to questions raised by Councilor King.  Councilor King then moved to, �Request City Manager request Commissioner of Transportation and Mobility provide City Council with a report concerning whether the city can calculate the efficacy of speed humps. Further, request City Manager request Commissioner of Transportation and Mobility include in said reports whether any grants are available to provide financial aid in installing speed humps.� (See Item #20d CC).  Vice Chairperson Councilor Colorio recognized Councilor Bergman, who spoke concerning the item.  Vice Chairperson Councilor Colorio recognized Councilor Rose for a second time, who spoke concerning the item.  Vice Chairperson Councilor Colorio moved to take the item up collectively with item #9r CC.   Vice Chairperson Councilor Colorio recognized Councilor Mero-Carlson for a second time, who spoke concerning the item.  Vice Chairperson Councilor recognized Councilor Russell for a second time, who spoke concerning the item.  Vice Chairperson Councilor Colorio recognized the City Manager, who responded to questions raised by Councilor Russell.  Vice Chairperson Councilor Colorio moved for a roll call vote to adopt the items as amended. Order adopted as amended on a roll call vote of 11 Yeas and 0 Nays"
"2023-09-26","9. - ORDERS","9l.",,"Request City Manager identify problem crosswalks in each City Council district, as well provide City Council with a plan to address said problem crosswalks through a pilot program to paint �floating crosswalks,� at said locations, which are tools used to increase walkability for pedestrians and promote overall neighborhood safety. (Petty)","https://www.worcesterma.gov/cgi-bin/weblink.cgi?unique_id=cc2023sep22030018","Vice Chairperson Councilor Colorio read the item and recognized Mayor Petty, who spoke concerning the item.  Vice Chairperson Councilor Colorio recognized Councilor Toomey, who moved to, �Request City Manager request Commissioner of Transportation and Mobility provide City Council with a report concerning the feasibility of installing crosswalk light sensors at crosswalks that blink for both pedestrians and bicyclists.� (See Item #20e CC).  Vice Chairperson Councilor Colorio moved to add the entire City Council as sponsors of the item.  Vice Chairperson Councilor Colorio moved for a roll call vote to adopt the item. Order adopted on a roll call vote of 11 Yeas and 0 Nays"
"2023-09-26","9. - ORDERS","9m.",,"Request City Manager collaborate with all appropriate city departments and stakeholders to plant one-thousand (1,000) trees in the city by 2026. (Petty)","https://www.worcesterma.gov/cgi-bin/weblink.cgi?unique_id=cc2023sep22030614","Vice Chairperson Councilor Colorio read the item and recognized Mayor Petty, who spoke concerning the item.  Vice Chairperson Councilor Colorio moved to add the entire City Council as sponsors of the item.  Vice Chairperson Councilor Colorio moved for a roll call vote to adopt the item. Order adopted on a roll call vote of 11 Yeas and 0 Nays"
"2023-09-26","9. - ORDERS","9n.",,"Request City Manager provide City Council with a strategic implementation plan to vow the city becomes the cleanest gateway city in Massachusetts. Said strategic plan should include strategies used in other gateway communities to achieve similar goals. (Petty)","https://www.worcesterma.gov/cgi-bin/weblink.cgi?unique_id=cc2023sep22030728","Vice Chairperson Councilor Colorio read the item and recognized Mayor Petty, who spoke concerning the item.  Vice Chairperson Councilor Colorio moved to add the entire City Council as sponsors of the item.  Vice Chairperson Councilor Colorio moved for a roll call vote to adopt the item. Order adopted on a roll call vote of 11 Yeas and 0 Nays"
"2023-09-26","9. - ORDERS","9o.",,"Request City Manager review the city�s current recycling bins to determine the feasibility of introducing additional rolling bins and/or other bin options for those residents living on steep hills. (Petty)","https://www.worcesterma.gov/cgi-bin/weblink.cgi?unique_id=cc2023sep22030836","Vice Chairperson Councilor Colorio read the item and recognized Mayor Petty, who spoke concerning the item.  Vice Chairperson Councilor Colorio recognized Councilor Rose, who spoke concerning the item.  Mayor Petty recognized Councilor Russell, who moved to �Request City Manager provide outreach to educate residents of the various options available for putting recycling out to be collected, including but not limited to the use of city bins and the use of purchased rolling containers.� (See Item #20f CC).  Vice Chairperson Councilor Colorio recognized the City Manager, who responded to questions raised by Councilor Russell.  Vice Chairperson Councilor Colorio recognized Councilor King, who spoke concerning the item.  Vice Chairperson Councilor Colorio moved to add the entire City Council as sponsors of the item.  Vice Chairperson Councilor Colorio moved for a roll call vote to adopt the item. Order adopted on a roll call vote of 11 Yeas and 0 Nays"
"2023-09-26","9. - ORDERS","9p.",,"Request City Manager install a soundly-constructed escape ramp to prevent swans from being trapped in the spillway at Salisbury Pond in Institute Park, while also assessing other water bodies in the city to ensure such an issue is not occurring elsewhere. (Petty)","https://www.worcesterma.gov/cgi-bin/weblink.cgi?unique_id=cc2023sep22031002","Vice Chairperson Councilor Colorio read the item and recognized Mayor Petty, who spoke concerning the item.  Vice Chairperson Councilor Colorio moved for a roll call vote to adopt the item. Order adopted on a roll call vote of 10 Yeas and 0 Nays (Mero-Carlson absent)"
"2023-09-26","9. - ORDERS","9q.",,"Request City Manager and City Council review documents regarding Crisis Pregnancy Centers (see attached). (Nguyen)","https://www.worcesterma.gov/cgi-bin/weblink.cgi?unique_id=cc2023sep22025344","Mayor Petty read the item and recognized Councilor Nguyen, who moved to Table the Item Under Privilege.  Tabled Under Privilege - Nguyen"
"2023-09-26","9. - ORDERS","9r.",,"Request City Manager provide City Council with a comprehensive report and update concerning how many chosen speed hump locations have been installed in the city, as well as how many chosen locations are still awaiting installation. Said report should be sorted by City Council district. (Mero-Carlson)","https://www.worcesterma.gov/cgi-bin/weblink.cgi?unique_id=cc2023sep22031126","Order adopted on a roll call vote of 11 Yeas and 0 Nays (See Item #9k CC)"
"2023-09-26","9. - ORDERS","9s.",,"Request City Manager work with the Acting Police Chief to provide City Council with a report relative to any trends found in the city associated with increased speeding by motorists. Further, request City Manager request Acting Police Chief include in said report plans to address any such trends. (Mero-Carlson)","https://www.worcesterma.gov/cgi-bin/weblink.cgi?unique_id=cc2023sep22031233","Mayor Petty read the item and recognized Councilor Mero-Carlson, who spoke concerning the item.  Mayor Petty recognized Councilor Toomey, who moved to, �Request City Manager request Commissioner of Transportation and Mobility review technologies that could be pursued by the city to improve flow of vehicles and pedestrian safety, such as IBM Smart Traffic Lights.� (See Item #20g CC).   Councilor Toomey then moved to, �Request City Manager reach out to WPI to encourage its students to complete a study of potential traffic engineering innovations that could be completed in the city.� (See Item #20h CC).  Mayor Petty moved for a roll call vote to adopt the item. Order adopted on a roll call vote of 11 Yeas and 0 Nays"
"2023-09-26","9. - ORDERS","9t.",,"Request City Manager request Commissioner of Public Works and Parks provide City Council with a report relative to all streets and sidewalks that have been added to the approved street resurfacing and sidewalk repair lists to await funding over the last four (4) years. Said report should also include all street and sidewalk resurfacing selections over the past four (4) years, sorted by district, as well as the dates said lists have provided and approved by City Council. (Mero-Carlson)","https://www.worcesterma.gov/cgi-bin/weblink.cgi?unique_id=cc2023sep22031346","Mayor Petty read the item and moved for a roll call vote to adopt the item. Order adopted on a roll call vote of 11 Yeas and 0 Nays"
"2023-09-26","9. - ORDERS","9u.",,"Request City Manager provide City Council with a report concerning what recommendations and suggested considerations were made and realized relative to the final report issued in July of 2023 by a city commissioned attorney, Michael Gardner. Said report should include any processes or policies that were created, reprioritized and or related trainings, as well as information pertaining to whether the information was shared with the whole of city personnel. (King)","https://www.worcesterma.gov/cgi-bin/weblink.cgi?unique_id=cc2023sep22033417","Mayor Petty read the item and recognized Councilor King, who moved to amend the item to strike the date from the Order.  Mayor Petty moved for a roll call vote to adopt the item as amended. Order adopted as amended on a roll call vote of 11 Yeas and 0 Nays"
"2023-09-26","9. - ORDERS","9v.",,"Request City Manager request Chief Human Resources Officer conduct a survey of city employees to accompany any policies and procedures associated with the city�s proposed restructuring of Comprehensive Leave Benefits in Lieu of adoption of Paid Family and Medical Leave (PFML). (King)","https://www.worcesterma.gov/cgi-bin/weblink.cgi?unique_id=cc2023sep22033539","Mayor Petty read the item and moved for a roll call vote to adopt the item. Order adopted on a roll call vote of 11 Yeas and 0 Nays"
"2023-09-26","10. - RESOLUTION","10a.",,"That the City Council of the City of Worcester does hereby support considering the following amendments to the Accessory Dwelling Unit (ADU) Report, in order to balance the public good of creating ADU�s and to preserve the character of the neighborhoods in which ADU�s are sought to be created in: 1) Section 8A C. (c) of the Report be amended to exclude an owner being temporary absent other than for documented medical reasons; 2) Section 8A C. (f) of the Report be amended to require a family relationship of up to three (3) degrees of kinship; 3) Section 8A C. 4. of the Report be amended to require an ADU to have one (1) additional off-street parking space (for a non-family relationship) in any zones other than RS-10 and RS-7; and 4) Prior to the adoption of any Zoning Ordinance Amendment relating to ADU�s that consideration be given to any suggested restrictions upon ADU�s offered through state legislation. (Bergman)","https://www.worcesterma.gov/cgi-bin/weblink.cgi?unique_id=cc2023sep22031813","Mayor Petty read the item and recognized Councilor Bergman, who spoke concerning the item.  Mayor Petty recognized Councilor Rose, who moved to place the item on file. � Not Put.  Mayor Petty recognized Councilor King, Councilor Russell, Councilor Rivera, Councilor Haxhiaj, Councilor Mero-Carlson, and Councilor Toomey, who spoke concerning the item.  Mayor Petty recognized Councilor King for a second time, who spoke concerning the item.  Mayor Petty recognized Councilor Bergman for a second time, who moved to Table the Item Under Privilege.  Mayor Petty recognized Councilor Haxhiaj, Councilor Rivera and Councilor Rose for second times, who spoke concerning the item.  Tabled Under Privilege � Bergman"
